text,category,target,source
"প্রিয় চাকুরী প্রার্থী,


** ইস্টার্ন রিফাইনারি লিমিটেড-এর নিয়োগ বিজ্ঞপ্তি প্রকাশ হয়েছে।
আবেদন শুরু ১৯/০৭/২০২২ খ্রি:। আবেদন এর শেষ সময় ১৭/০৮/২০২২ তারিখ।
ইস্টার্ন রিফাইনারি লিমিটেড-এ আবেদন করতে ভিজিট করুন –
https://alljobs.teletalk.com.bd/.../organiz.../list/jobs/...",spam,1,real
"ভর্তি চলছে ইউসিসিতে ,বরিশাল শাখায়",spam,1,real
টুইট করেছেন: এই জংকুকের জন্য,social,5,real
আপনি কেমন আছেন,spam,1,real
ঈদের আকর্ষণীয় অফারের জন্য আজই ডায়াল করুন *৫#,promotions,4,real
আমি কিভাবে ঘরে বসে মাসে বিশ হাজার টাকা আয় করতে পারি?,updates,2,real
১৫দিন মেয়াদে ১৩জিবি ১৫০টাকায় নিতে ডায়াল *১২১*৫৬১৯# বা ভিজিট mygp.li/mo,primary,0,real
"ফ্ল্যাশ সেল কৃত্রিম সংস্করণের প্রতিশোধ নেওয়ার জন্য ২৫% ডিসকাউন্ট কোড 'FRL25' পেতে হলে ৩ দিন মধ্যে আমাদের পেজটির ভিতরে ঢুকুন।ছোটবড়ই, অফারটা",promotions,4,synthetic
"তানিয়া দেরি করছেন? আমি তাদের কাজের অগ্রগতি জানানোর জন্য তুমি অগ্রগতিশীল। আমাদের প্রোজেক্ট 'ডু নট ডিসটার্ব' ২০১৯ সালেই চালু হয়েছিল। তবে, আ",primary,0,synthetic
"টি খুলে যাওয়ার কোডটি আপনার পরীক্ষার ফলাফল জানতে চাইছেন?
আপনার প্রতিযোগিতায় ২০০০ গণিত প্রশ্নসমূহের উত্তরগুলি অর্জনের মাধ্যমে, আপনি ৩০% XP অর্জন করবেন।
আপনাকে ৫টি Readymade CSS Templates সম্পাদনা-শিখতে এখনই আরও ১৫% XP!
বিভিন্ন Old Google Apps मुख्यত: Gmail, Calendar, Drive, Chrome Browser || New Apps म",important,3,synthetic
নোসিন ইবনা মাহবুব গ্রুপ কথোপকথনে একটি বার্তা পাঠান,social,5,real
"scheme: সীমিত সময়ের কৃতিত্ব প্রদান অফার

সিরিজ: যারা শেষের দিনগুলোকে প্রভাবিত হয়েছিলেন/হতেছিলেন, ২০% ছুজি লাভটির জন্য আপনার কৃতিত্বের সাহায্যকৃ",spam,1,synthetic
"service: রবি · event: অ্যাপ আপডেট উপলব্ধ · amount: ৳ ১২,০০০ · date: ৩ মার্চ

বিভিন্ন অ্যাপের আপডেট হয়েছে, জনপ্রিয় এবং আধুনিক অ্যাপসরগুলিতে। আমরা আপনাকে সবচেয়ে নতুন এবংকার্য্যময",updates,2,synthetic
গ্রেট অফার চলছে' বে 'তে,primary,0,real
"আমরা লক্ষ্য করেছি যে আপনার অ্যাকাউন্টে লগ ইন করতে আপনার সমস্যা হচ্ছে৷ আপনার যদি সাহায্যের প্রয়োজন হয়, নীচের বোতামে ক্লিক করুন এবং আমরা আপনাকে লগ ইন করব৷",promotions,4,real
একটি পেজ নাম 'Bangla Tech' এর সাথে ৪টি ছবির ট্যাগ করা হয়েছে।,social,5,synthetic
"শাওনকৈ,

খুলনাটি বেড়াচ্ছি। আমার মনে হয়েছিল আগামীকালটি যে পর্যন্ত দিনই থাকব। কিন্তু অসুবিধা পড়েছিল। শিক্ষকদেররা আমাকে আদেশ দেয়ার জন্য সময়ট",primary,0,synthetic
"service: Pathao · event: পেমেন্ট কনফার্মেশন · amount: ৩,৪৯৯ টাকা · date: ৩ মার্চ

এখন আপনি সব তথ্য ছাড়াও বাস্তব, স্বাভাবিক বাংলা বলেই এই ইমেইলটির সৃষ্টি করতে পারেন।",updates,2,synthetic
"রাত ৯:৩০ এ আমাদের এফবিও মিটিং , সবাই মাষ্টবি উপস্থিত থাকবেন।।।।।।",primary,0,real
"“গতিসীমা মেনে চলি, সড়ক দুর্ঘটনা রোধ করি”",updates,2,real
"বাংলাদেশ বিমান বাহিনীতে ৮৭ বাফা কোর্সের নির্বাচনী পরীক্ষার পরিবর্তিত সময়সূচীঃ-১৪, ১৬, ২১, ২৩, ২৪, ২৮, ৩০,৩১ আগস্ট ও ৪, ৬, ৭, ১১, ১২ সেপ্টেম্বর ২০২২।",important,3,real
"আরে ফারিয়া চৌধুরী, আপনার প্যাকেজ বাতিল করা হয়েছে।",updates,2,real
"ওয়ারেন বাফেটের মতে, এই একটি দক্ষতাকে সম্মান করা আপনার মূল্যকে 50 শতাংশ দ্বারা উন্নত করতে পারে | উদ্যোক্তার হ্যান্ডবুকে মাইকেল থম্পসন",promotions,4,real
১৫ হতে ২১ জুন ২০২২ সারাদেশে জনশুমারি ও গৃহগণনা অনুষ্ঠিত হচ্ছে। শুমারি কর্মীকে সঠিক তথ্য দিয়ে সহযোগিতা করুন।’’-বাংলাদেশ পরিসংখ্যান ব্যুরো।,promotions,4,real
"promotions · ব্র্যান্ড: Daraz · পণ্য: কম্বো প্যাক · বেছে নেওয়া: ফ্রি ডেলিভারি · নির্ধারিত এডেন্ডিটাইম: শুধু এই সপ্তাহে

ধন্যবাদ জনৈকে,
আমরা আপনাকে সুবিধাজনক",promotions,4,synthetic
"স্যার ,আপনি আমাদের এই পণ্য ক্রয় করার জন্য এখন ৫০০ টাকা পেমেন্ট করলেই ৩০% ডিসকাউন্ট পাচ্ছেন।",spam,1,real
"মাস ২০১৯ বছরের একক নিজস্ব ক্রমিক নম্বরের অনুপস্থিতি - নথি সংগ্রহ

Google org:

আপনার 2019 মাসের একক নিজস্ব ক্রমিক নম্বরের অনুপস্থিতি।
এই পর্যায়ে ১৫শেই সেপ্টেমবার, ২০১৯তে।

শেয়ারার, আপনি এই সংখ্যা 22456589084806637109118731589578904",important,3,synthetic
০৫ আগস্ট বীর মুক্তিযোদ্ধা শহীদ ক্যাপ্টেন শেখ কামাল এর ৭৩তম জন্মবার্ষিকীতে ইতিহাসের এ শুদ্ধ পুরুষকে জাতি গভীর শ্রদ্ধাভরে স্মরণ করছে - যুব ও ক্রীড়া মন্ত্রণালয়।,primary,0,real
"service: গ্রামীণফোন · event: রিচার্জ সফল · amount: ৩,৪৯৯ টাকা · date: ২৮ জানুয়ারি

ভগবানের নামে আমি।

মজুমতিলাম, গ্রামীণফোনের রিচার্জ করা সফল! ৩,৪৯৯ টাকা জমা করেছি। আশা করি, আপন",updates,2,synthetic
"🎂 দালার মিয়া, আশিক ইকবাল এবং অন্যান্য 4 জনের জন্মদিন আজ",social,5,real
"আতিকুর রহমান রিয়াজ গ্রুপ কথোপকথনে একটি বার্তা পাঠিয়েছেন ""সেভেন স্টার ব্যাচেলর পয়েন্ট, অর্নি ভ্যালি""।",social,5,real
"একটি বাংলা ইমেইল:

platform: TikTok
action: নতুন ক্যালেন্ডারটি পাঠানোর জন্য সাবস্ক্রাইব করার অনু",social,5,synthetic
শুধুমাত্র আজই বিকাশ/নগদ/রকেট/উপায় থেকে প্রথমবার ২৯টাকা রিচার্জে ০.৫জিবি বোনাস(একবার)+বিশেষ কল রেট ৫৯পঃ/মিঃ(+ট্যাক্স)-৩দিন। সীমিত অফার!,promotions,4,real
বিক্রয় অ্যাপটি ব্যহাররের জন্য আপনি বিক্রয় ডট কমের পক্ষ থেকে পাচ্ছেন একলক্ষ টাকার উপহার।,spam,1,real
"স্টোরেজ সহ বেশি সময় এবং মূল্যকে চিন্তা করতে কিনেনি? বিভাগ Bata, যার কোর্টি চার্জিং হাবটি। আন্তর্জাতিক মাতৃভাষা দিবস, আমাদের সকলকেই বিশেষজ্ঞতা !

স্ট",promotions,4,synthetic
"platform: Twitter (X) · action: আপনাকে মেনশন · who: 'Barishal University Students' গ্রুপ

ভাই মহি, আপনার প্রতি তোমাকে মেনশন করলাম",social,5,synthetic
আপনার একাউন্ট ভেরিফিকেশন নম্বর =৫৬৬৫,important,3,real
App হাল নাগাদ করলে আপনি নতুন নতুন অফার পাবেন।,updates,2,real
"**topic: NID বাক্সের লিখে দেওয়া তালিকা সফলতা স্বরূপ – পাসপোর্ট অধিদপ্তর**

**org: পাসপোর্ট অধিদপ্তর**

**action: আমারি প্রশ্নসমূহকে কিরূপে সমাধান করতে হবে?**

শহীদমামুনুলআল্লাহ,

আজই NID বাক্সের তালিকা আমি লিখেছি,।এটা 12জনের।একটা

তথ্য ৭মজনকে DBMS (বিশ্ববিদ্যালয",important,3,synthetic
একটি পেজের নাম 'Bangla Tech'র কারা একটি টেলিভিশন সিরিজ 'যৌথ বাংলা-ইংরেজি'কে ট্যাগ দিয়ে,social,5,synthetic
ইউনিভার্সিটি অফ গ্লোবাল ভিলেজ সেমিস্টার ফি ৫০% দিয়ে ১১/৭/২২ তারিখের মধ্যে রেজিষ্ট্রেশন সম্পন্ন করুন।,promotions,4,real
"আজকের উপহার, যোগাযোগ করুন! 🎁

ভাবলাম, আপনাদের কিছু সুযোগসম্পন্ন উপহারের জন্য আপনারা খুশি হবেন।

একটি গুরুত্বপূর্ণ নিশ্চয়তা: আমি যেকোনো ফ",spam,1,synthetic
"সম্মানিত সকল সদস্যদের অবগতির জন্য জানাচ্ছি যে,জনাব লিটন(প্রেসিডেন্ট বাড়ির)  কর্মক্ষেত্রে গুরুতর দুর্ঘটনার শিকার হন। তার সুচিকিৎসার জন্য অনেক টাকার প্রয়োজন, এমতাবস্থায় সেবা সংগঠনের পরিচালনা কমিটির সকল সদস্যদের সম্মতিক্রমে সেবা ফান্ডের অর্থ থেকে তাকে নগদ ১০০০০টাকা অর্থ সহায়তা করার সিধান্ত নেয়া হয়েছে।",primary,0,real
"ভাই হাসান,

আমি তোমার কাছ থেকে একটি চাপিয়ে দিতে পছন্দ করি। খুবই দেরির মধ্যে Tooba A.র সম্প্রতি এই পোস্টটা লিখেছিলেন, তা জানাতে।

তবে, ১৬-২১শে August নামক",primary,0,synthetic
"service: BRAC Bank · event: ডেলিভারি আপডেট · amount: ২৫০ টাকা · date: ২৮ জানুয়ারি

এখন আপনার বাস্তব এবং স্বাভাবিক ইমেইল:

BRAC ব্যবহারকারীরা,

আস好节近来，আপনার BRAC ব্যবহারকারীরা!

এই খবরটি ২৮ই জানুয়",updates,2,synthetic
প্রি-পেমেন্টে পাচ্ছেন অতিরিক্ত ১০% ডিসকাউন্ট,promotions,4,real
মাইশা তলুকদার তোমাকে একটা মেসেজ পাঠিয়েছে।,social,5,real
"হাই মিম, TCO22 অ্যালগরিদম প্যারালাল রাউন্ড 4 30 জুলাই, 2022 তারিখে 12:00 UTC-4 এ শুরু হবে। ম্যাচটি রেট করা হবে",primary,0,real
"শাহিন হোসেন,

আমি আপনার পেজ 'Bangla Tech' এর জন্য সাবস্ক্রাইব করতে অনুরোধ করি। একটি সফল",social,5,synthetic
আপনার ASUS ক্লাউড সদস্যের এক্সক্লুসিভ অফারটি ১ দিনের মধ্যে শেষ হয়ে যাবে।,primary,0,real
"service: Nagad · event: একটি লেনদেন সম্পন্ন · amount: ৭৫০ টাকা · date: ২৮ জানুয়ারি

ভায়া, আপনার একটি Nagad লেনদেন সম্পন্ন হয়েছিল। লেনদেনটির ক্রয়মূল্য ৭৫০ টাকা। এই অবশিষ্ট ডানবলটি আপনার Nag",updates,2,synthetic
[আজকের অফার] ট্রেন্ডিং স্কিল বান্ডেল - ফ্ল্যাট $19✔✔,updates,2,real
"29 মার্চ, 2022 এর মধ্যে কোর্সগুলিতে নথিভুক্ত করুন",important,3,real
"স্যার,

আপনার আবেদন স্বাগতম। আমি এই ছেলের পরবর্তী গাড়িতে সুপারিশ দিতে চাই।

একটি খুবই গুরুত্বপূর্ণ সিদ্ধান্ত - আপনার ছেলেয়াল ১৫টি বছরের।

আমি আ",spam,1,synthetic
বর্তমানে আয় করার সহজ প্ল্যাটফর্ম কোনটি?,updates,2,real
"বড় ভাই ফারজানা এসেছেন খুলনা অঞ্চলে।

আমরা এখনো অনুষ্ঠানটির কাঁধ দিচ্ছি, তবে তাঁকেও আমন্ত্রণ দিতে চাই।

অনুষ্ঠানটি ১৫ই জুলাই ২০২৩তে ৯টিরিং",primary,0,synthetic
নিরাপত্তা সতর্কীকরণ,updates,2,real
"কোভিড-১৯ ভ্যাকসিন নিবন্ধনঃ আপনার OTP কোড-428245 , ধন্যবাদ।",updates,2,real
"ফারজানা ভাই,

আজ আমি যন্ত্রণায় বিলুপ্ত থাকবো না, কিন্তু মনে হচ্ছে আমার কাজের একটি সাহায্যের প্রয়োজন।

চূড়ান্ত প্রজেক্টটি আগামীকালের 9:00টা পর",primary,0,synthetic
ছুটির সকালে বুঝে নিন আপনার উপহার।,promotions,4,real
"service: Daraz · event: অ্যাপ আপডেট উপলব্ধ · amount: ৮৯৯ টাকা · date: ১৫ আগস্ট

স্বয়ংক্রিয় বিজ্ঞপ্তি:
শেয়ার করছি, আজ নতুন অ্যাপ আপডেটের জন্য দরকারি লিঙ্কটি। नতুন অ্যাপসমূহের pdf এবং apk [সংয",updates,2,synthetic
"🎉 মাইক্রোসফ্যাক্ট টিকটক প্রোফাইল ভিজিট করুন
(platform: TikTok · action: প্রোফাইল ভিজিট · who: 'Barishal University Students'",social,5,synthetic
বোনাস সহ ১.৫জিবি-১৯টাকা-৭দিন। ডায়াল *১২১*৫৪৫০# বা mygp.li/my,promotions,4,real
"টানাটানি করে স্বাভাবিকভাবে তানিয়ার সাথে যুক্তির জন্য এই কথা লিখো:

""মুস্কেলশীলা, আমি সত্যি-সত্যি রুমমেট। 2021 সন্ধ্যা 15টিরও আগেই নিজেকে গোপনে জ",primary,0,synthetic
আপনার প্রিয় অঙ্গীকারে দাম কমে গেছে!,updates,2,real
"নতুন ইমেইল:

service: Nagad
event: অ্যাপ আপডেট উপলব্ধ
amount: ৳ ১,২৫০
date: ৩ মার্চ

মজবুতি বাংলায় লেখা এই অ্যাপ আপডেটটি আজকে উপস্থিত। আপনি নগদ একক ১,২৫০ টাকা পরিষ্কারভাবে জমা করতেই",updates,2,synthetic
"brand: Chaldal · product: বিউটি প্রোডাক্ট · discount: ৩০% পর্যন্ত ছাড় · deadline: শুধু এই সপ্তাহে

স্বাগতম আপনারা! আপনি আমাদের Chaldal বিউটি প্রোডাক্টগুলিতে ৩০% পর্যন্ত ছাড়ের ফলে",promotions,4,synthetic
আমাদের foodpanda থেকে খাবার অর্ডার  করলে আপনি পাচ্ছেন ১ টার সাথে ৩ টা ফ্রি।,spam,1,real
